IPA,Pinyin
a,a
er,er
ɤ,e
ɛ,ian
æ,uan
e,ie
ə,en
ɚ,er
i,yi
o,uo
ɻ̩,i
ɹ̩,i
u,u
ʊ,ong
y,yu
ai,ai
au,ao
ei,ei
ou,ou
