Pinyin,IPA
b,p
p,pʰ
m,m
f,f
d,t
t,tʰ
n,n
l,l
g,k
k,kʰ
h,x
h,h
j,tɕ
q,tɕʰ
x,ɕ
zh,ʈʂ
ch,ʈʂʰ
sh,ʂ
r,ɻ~ʐ
z,ts
c,tsʰ
w,w
y,j
y,ɥ
-i,ɹ̩~z̩
-i,ɻ̩~ʐ̩
a,a
e,ɤ
ai,ai̯
ei,ei̯
ao,au̯
ou,ou̯
an,an
en,ən
ang,aŋ
eng,əŋ
ong,ʊŋ
er,aɚ̯
i,i
ia,ja
ie,je
iao,jau̯
iu,jou̯
ian,jɛn
in,in
iang,jaŋ
ing,iŋ
iong,jʊŋ
u,u
ua,wa
uo,o
uo,wo
uai,wai̯
ui,wei̯
uan,wan
un,wən
uang,waŋ
(n/a),wəŋ
u,ü
u,y
ue,üe
ue,ɥe
uan,ɥɛn
un,yn
ê,ɛ
o,ɔ
io,jɔ
