Last Name,姓氏,Ethnic
TEN,鄧,Hakka
QUAH,柯,Hokkien/Teochew
TIO,張,Hokkien
THEN,鄧,Hakka
LIAN,連,Mandarin
EU,余,Teochew
POON,潘,Cantonese
FAN,范,Mandarin
NEW,梁,Hokkien
KEH,郭,Hokkien
YOU,游,Mandarin
PUNG,方,Hokkien
KEONG,龔,Hakka
AU,歐,Cantonese
LENG,龍,Hokkien
LUA,賴,Hokkien
HAW,郝,Mandarin
LEO,劉,Mandarin
THEW,THEW,English
THAI,邰,Mandarin
HUAN,桓,Mandarin
KERK,KERK,English
HOON,雲,Hokkien/Teochew
NGAN,顏,Cantonese
TOK,卓,Hokkien
POK,朴,Cantonese
SEET,薛,Cantonese
OU,歐,Mandarin
KIEW,邱,Hakka
KUAH,柯,Hokkien
CHUI,徐,Cantonese
PUI,貝,Cantonese
NGOI,魏,Hokkien
BOON,文,Hokkien
SAN,辛,Cantonese
CHER,徐,Hokkien
CHA,查,Mandarin
KAU,高,Hakka
KIM,金,Hokkien
KHONG,孔,Hokkien
SHUM,岑,Cantonese
KUEH,郭,Hokkien
TIOH,張,Hokkien
THUM,譚,Hokkien/Teochew
CHEK,CHEK,English
PHUAH,潘,Hokkien
KWEK,郭,Teochew
EWE,尤,Others
YOO,俞,Korean
LEAN,連,Mandarin
HWANG,黃,Korean
KWANG,鄺,Mandarin
SWEE,徐,Hokkien
KUNG,孔,Mandarin
SEEK,SEEK,Others
GUN,GUN,Korean
CHIU,趙,Cantonese
TIE,鐵,Mandarin
KWOK,郭,Cantonese
LEM,林,Hokkien
HAM,譚,Cantonese
BOEY,梅,Hokkien
GUAN,關,Cantonese
YIN,尹,Mandarin
GEE,俞,Hainanese
SING,辛,Mandarin
SEW,蕭,Cantonese
CHNG,莊/庄,Teochew
CHOI,蔡,Cantonese
YIM,嚴,Cantonese
TIN,田,Cantonese
TYE,戴,Cantonese
FU,傅,Mandarin
NAM,藍,Cantonese
CHIEN,錢,Mandarin
CHOOI,崔,Hakka
KWA,柯,Hokkien
CHYE,蔡,Hakka
THYE,戴,Cantonese
SHE,佘,Mandarin
TIAN,田,Mandarin
YING,贏,Mandarin
FANG,方,Mandarin
LOCK,陸,Cantonese
CHEA,謝,Hokkien
ON,ON,Others
SOW,SOW,Others
CHOR,楚,Hokkien
ZHOU,周,Mandarin
CHOON,春,Hokkien
WON,袁,Korean
KUEK,郭,Hokkien
LEAU,劉,Mandarin
JEE,徐,Hokkien
CHOK,卓,Cantonese
TUEN,段,Cantonese
TEONG,張,Hokkien
DANG,鄭,Hokchew
LAY,李,Hokkien/Teowchew
KHOH,徐,Teowchew
NGANG,顏,Hokkien
SIAW,蕭,Hokkien
TER,戴,Hokkien
NGE,顏,Others
THO,杜,Hokkien
YAM,甄,Cantonese
SIAU,蕭,Teochew
KAT,吉,Cantonese
CHERN,陳,Mandarin
PAU,鮑,Cantonese
PENG,彭,Mandarin
PHAN,潘,Vietnamese
KOR,高,Teochew
CHE,車,Mandarin
GUI,魏,Hokkien
SAK,石,Hakka
XU,許/徐,Mandarin
CHEOW,趙,Taisan
GOOI,魏,Foochow
CHIM,詹,Cantonese
TEI,戴,Japanese
ZHAO,趙,Mandarin
HA,何,Vietnamese
BAN,萬,Hokkien
CHOE,崔,Korean
YUAN,袁,Mandarin
SON,孫,Japanese
GUE,倪,Others
YEAT,YEAT,Others
GOON,魏,Others
YII,伊,Mandarin
KON,今,Japanese
THIAN,鄧,Others
LOR,羅,Teochew
SIT,薛,Cantonese
NGAI,魏,Cantonese
CHAY,謝,Hokkien/Teowchew
SHIM,沈,Hakka
WUI,惠,Korean
POO,蒲,Mandarin
KER,郭,Others
NGEOW,饒,Cantonese
CHEON,鄭,Korean
SHAM,沈,Cantonese
LIO,廖,Korean
CHI,池,Mandarin
KHOK,郭,Cantonese
KWEE,郭,Hokkien
NGAU,牛,Cantonese
KNG,孔,Mandarin
YAO,姚,Mandarin
MOI,梅,Cantonese
CHON,全,Korean
MAU,繆,Cantonese
HING,卿,Cantonese
SI,姒,Mandarin
THEO,張,Hokkien
TOR,戴,Others
KOON,官,Cantonese
LUAH,賴,Hokkien
YEN,甄,Cantonese
SHI,史,Mandarin
DO,都,Korean
PUN,潘,Cantonese
TEA,謝,Hainanese
LIEU,劉,Mandarin
HANG,韓,Hokkien
SEK,石,Cantonese
TEAH,TEAH,Others
UN,UN,Others
LOU,魯,Cantonese
LUWE,盧,Mandarin
JIN,靳,Mandarin
YOUNG,羊,Korean
CHOU,周,Mandarin
LEON,LEON,Others
NGOW,牛,Cantonese
HWONG,黃,Cantonese
XIANG,項,Mandarin
KHU,邱,Hokkien
BOH,莫,Hokkien
CHUN,陳,Cantonese
HOONG,洪,Cantonese
SOU,蘇,Cantonese
TIANG,丁,Others
OI,黃,Hokkien
CHOH,祖,Hokkien
CHEAN,陳,Cantonese
OONG,王,Hokkien
KHANG,康,Vietnamese
PIONG,房,Hakka
SOOT,SOOT,Others
HUNG,孔,Cantonese
CHEENG,鄭,Mandarin
KOI,居,Cantonese
FUNG,馮,Cantonese
TEK,狄,Cantonese
YUNG,熊,Hakka
GIAM,閻,Hokkien
WAH,華,Hainanese
PU,蒲,Mandarin
LEI,雷,Mandarin
SZE,史,Cantonese
THOR,杜,Hokkien
CHIO,趙,Cantonese
KIOW,喬,Hokkien
YIW,游,Others
TIW,周,Others
YUE,余/于,Cantonese
TO,杜,Cantonese
KH'NG,康,Hokkien
CHIENG,詹,Foochow
CHIK,戚,Cantonese
LEAW,廖,Hokkien
KAH,家,Cantonese
THANG,唐,Mandarin
SUA,沙,Hokkien
CHUAN,全,Mandarin
PEK,白,Hokkien
MOW,茅,Hokkien
DAN,段,Korean
THOO,陶,Others
SHAW,邵,Cantonese
KIONG,孔,Hakka
CHEO,席,Hokkien
NGIOW,NGIOW,Others
LIOU,柳,Mandarin
SUNG,宋,Mandarin
POCK,蒲,Cantonese
LEOM,LEOM,Others
OUN,翁,Others
VONG,王/汪,Cantonese
CHOOK,築,Others
GUO,郭,Mandarin
PON,潘,Others
TIEO,TIEO,Others
THEE,THEE,Others
VOOI,VOOI,Others
CHEAW,周,Teochew
MOH,毛,Hokkien
SIOH,常,Teochew
HOI,許,Cantonese
LE,樂,Mandarin
EOW,楊,Hokkien
POW,鮑,Mandarin
CHOCK,卓,Cantonese
JOO,茹,Hokkien
OR,柯,Cantonese
TSANG,曾,Cantonese
POR,蒲,Hokkien
THEIN,田,Hakka
HNG,方,Hokkien/Teochew
TIEN,田,Mandarin
TIA,TIA,Others
BEE,米,Hokkien
CHEOH,席,Hokkien
YIK,易,Cantonese
PEONG,卞,Others
SEN,孫,Others
HUM,陳,Taishan
KHEW,邱,Foochow
FUN,范,Others
YEAK,易,Cantonese
WEN,溫,Mandarin
SHU,舒,Mandarin
HUE,HUE,Others
SIO,韶,Cantonese
LEU,劉,Mandarin
KUM,金,Cantonese
KUAK,柯,Teochew
BU,步,Mandarin
WEI,魏,Mandarin
BOONG,蒙,Hokkien
PANN,潘,Hakka
TIOW,張,Hokkien
LOOK,LOOK,Others
LIW,劉,Mandarin
SEA,施,Cantonese
NYON,NYON,Others
GOI,倪,Teochew
KHIEW,邱,Hakka
TIAH,程,Hokkien
CHIONG,蔣,Hakka
MAN,孟,Others
JOON,俊,Korean
LEK,陸,Teochew
YUO,YUO,Others
P'NG,方,Teochew
THOOI,崔,Vietnamese
HE,何,Mandarin
FUAH,FUAH,Others
CHUO,卓,Mandarin
BE,BE,Others
PAH,潘,Others
YEOU,游,Mandarin
SHIA,謝,Hokkien
HWEE,HWEE,Others
QU,屈,Mandarin
PIANG,PIANG,Others
QUEH,郭,Others
HAR,夏,Korean
CHHAN,陳,Cantonese
PAY,裴,Korean
OWN,翁,Others
LIE,李,Others
CAI,蔡,Mandarin
PAK,朴,Korean
MENG,孟,Mandarin
WOH,吳,Others
EEO,EEO,Others
CHWAH,CHWAH,Others
GUEK,GUEK,Others
DIEW,DIEW,Others
THING,THING,Others
BAU,包,Mandarin
LAN,藍,Mandarin
JUAY,JUAY,Others
YAPP,葉,Hokkien
NAH,藍,Hokkien/Teochew
PUAN,潘,Teochew
CHAH,謝,Teochew
KI,紀,Teochew
KHOW,KHOW,Others
TUANG,段,Teochew
KHIU,邱,Foochow
CHUANG,全,Hokkien
YIOW,姚,Cantonese
HUA,花,Mandarin
TOONG,童,Mandarin
WHOO,吳,Mandarin
PHUNG,馮,Vietnamese
